city,drive,fuelType,highway,make,model,,VClass
10,4-Wheel or All-Wheel Drive,Premium,17,Bentley,Continental Flying Spur,Automatic,Midsize Cars
19,Front-Wheel Drive,Regular,26,Pontiac,6000 Wagon,Automatic,Midsize-Large Station Wagons
17,Front-Wheel Drive,Regular,25,Buick,Lacrosse/Allure,Automatic,Midsize Cars
17,Front-Wheel Drive,Regular,27,Buick,Lacrosse/Allure,Automatic,Midsize Cars
15,Rear-Wheel Drive,Regular,25,Cadillac,CTS,Manual,Midsize Cars
16,Rear-Wheel Drive,Regular,24,Cadillac,CTS,Automatic,Midsize Cars
15,Rear-Wheel Drive,Regular,24,Cadillac,CTS,Manual,Midsize Cars
16,Rear-Wheel Drive,Regular,25,Cadillac,CTS,Automatic,Midsize Cars
14,Rear-Wheel Drive,Premium,22,Cadillac,CTS-V,Manual,Midsize Cars
16,Rear-Wheel Drive,Regular,25,Cadillac,STS,Automatic,Midsize Cars
12,Rear-Wheel Drive,Premium,19,Cadillac,STS-V,Automatic,Midsize Cars
15,Rear-Wheel Drive,Premium,24,Cadillac,STS,Automatic,Midsize Cars
17,Front-Wheel Drive,Regular,23,Pontiac,6000 Wagon,Automatic,Midsize-Large Station Wagons
16,4-Wheel or All-Wheel Drive,Regular,23,Cadillac,STS AWD,Automatic,Midsize Cars
21,Front-Wheel Drive,Regular,31,Chevrolet,Malibu,Automatic,Midsize Cars
19,Front-Wheel Drive,Regular,30,Chevrolet,Malibu,Automatic,Midsize Cars
16,Front-Wheel Drive,Regular,23,Chevrolet,Malibu,Automatic,Midsize Cars
19,Front-Wheel Drive,Regular,28,Chevrolet,Monte Carlo,Automatic,Midsize Cars
16,Front-Wheel Drive,Premium,24,Chevrolet,Monte Carlo,Automatic,Midsize Cars
17,Rear-Wheel Drive,Premium,26,Jaguar,S-Type 3.0 Litre,Automatic,Midsize Cars
16,Rear-Wheel Drive,Premium,24,Jaguar,S-Type 4.2 Litre,Automatic,Midsize Cars
15,Rear-Wheel Drive,Premium,22,Jaguar,S-Type R,Automatic,Midsize Cars
16,4-Wheel or All-Wheel Drive,Premium,22,Jaguar,X-Type Sport Brake,Automatic,Midsize Cars
17,Front-Wheel Drive,Regular,23,Pontiac,6000 Wagon,Automatic,Midsize-Large Station Wagons
21,Front-Wheel Drive,Regular,29,Mazda,6,Manual,Midsize Cars
17,4-Wheel or All-Wheel Drive,Premium,23,Mazda,6,Manual,Midsize Cars
21,Front-Wheel Drive,Regular,28,Mazda,6,Automatic,Midsize Cars
17,Front-Wheel Drive,Regular,25,Mazda,6,Manual,Midsize Cars
17,Front-Wheel Drive,Regular,25,Mazda,6,Automatic,Midsize Cars
17,Rear-Wheel Drive,Premium,24,Mercedes-Benz,E350,Automatic,Midsize Cars
16,4-Wheel or All-Wheel Drive,Premium,23,Mercedes-Benz,E350 4matic,Automatic,Midsize Cars
14,Rear-Wheel Drive,Premium,21,Mercedes-Benz,E550,Automatic,Midsize Cars
14,4-Wheel or All-Wheel Drive,Premium,20,Mercedes-Benz,E550 4matic,Automatic,Midsize Cars
12,Rear-Wheel Drive,Premium,19,Mercedes-Benz,E63 AMG,Automatic,Midsize Cars
16,Front-Wheel Drive,Regular,22,Pontiac,6000 Wagon,Automatic,Midsize-Large Station Wagons
20,Front-Wheel Drive,Regular,27,Mitsubishi,Galant,Automatic,Midsize Cars
16,Front-Wheel Drive,Premium,25,Mitsubishi,Galant,Automatic,Midsize Cars
19,Front-Wheel Drive,Premium,25,Nissan,Maxima,Automatic,Midsize Cars
26,Front-Wheel Drive,Regular,33,Nissan,Versa,Automatic,Midsize Cars
24,Front-Wheel Drive,Regular,32,Nissan,Versa,Automatic,Midsize Cars
26,Front-Wheel Drive,Regular,31,Nissan,Versa,Manual,Midsize Cars
17,Front-Wheel Drive,Premium,26,Pontiac,Grand Prix,Automatic,Midsize Cars
18,Front-Wheel Drive,Regular,28,Pontiac,Grand Prix,Automatic,Midsize Cars
17,Front-Wheel Drive,Premium,26,Pontiac,Grand Prix,Automatic,Midsize Cars
16,Front-Wheel Drive,Premium,25,Pontiac,Grand Prix,Automatic,Midsize Cars
16,Front-Wheel Drive,Regular,24,Pontiac,6000 Wagon,Automatic,Midsize-Large Station Wagons
16,4-Wheel or All-Wheel Drive,Premium,23,Audi,A8 L,Automatic,Large Cars
17,Front-Wheel Drive,Regular,26,Buick,Lucerne,Automatic,Large Cars
15,Front-Wheel Drive,Regular,23,Buick,Lucerne,Automatic,Large Cars
15,Front-Wheel Drive,Regular,23,Cadillac,DTS,Automatic,Large Cars
15,Front-Wheel Drive,Regular,22,Cadillac,DTS,Automatic,Large Cars
13,Front-Wheel Drive,Regular,18,Cadillac,Funeral Coach / Hearse,Automatic,Large Cars
13,Front-Wheel Drive,Regular,19,Cadillac,Limousine,Automatic,Large Cars
18,Front-Wheel Drive,Regular,28,Chevrolet,Impala,Automatic,Large Cars
18,Front-Wheel Drive,Regular,26,Chevrolet,Impala,Automatic,Large Cars
16,Front-Wheel Drive,Premium,24,Chevrolet,Impala,Automatic,Large Cars
17,Rear-Wheel Drive,Premium,21,Toyota,Cressida Wagon,Automatic,Midsize-Large Station Wagons
18,Front-Wheel Drive,Regular,28,Chevrolet,Malibu Maxx,Automatic,Large Cars
15,Front-Wheel Drive,Regular,22,Chevrolet,Malibu Maxx,Automatic,Large Cars
15,Rear-Wheel Drive,Regular,23,Ford,Crown Victoria,Automatic,Large Cars
